gi|388476126|ref|YP_488309.1| gi|525830411|ref|YP_008250665.1|
gi|388476127|ref|YP_488310.1| gi|525827934|ref|YP_008250664.1|
gi|388476128|ref|YP_488311.1| gi|525829561|ref|YP_008252688.1|
gi|388476129|ref|YP_488312.1| gi|525827933|ref|YP_008250663.1|
gi|388476130|ref|YP_488313.1| gi|525827932|ref|YP_008250662.1|
gi|388476133|ref|YP_488316.1| gi|525827929|ref|YP_008250659.1|
gi|388476134|ref|YP_488317.1| gi|525827928|ref|YP_008250658.1|
gi|388476135|ref|YP_488319.1| gi|525827927|ref|YP_008250657.1|
gi|388476141|ref|YP_488325.1| gi|525827904|ref|YP_008250631.1|
gi|388476145|ref|YP_488329.1| gi|525830406|ref|YP_008250627.1|
gi|388476147|ref|YP_488331.1| gi|525827901|ref|YP_008250626.1|
gi|388476149|ref|YP_488333.1| gi|525827899|ref|YP_008250624.1|
gi|388476151|ref|YP_488335.1| gi|525827897|ref|YP_008250622.1|
gi|388476153|ref|YP_488337.1| gi|525827882|ref|YP_008250607.1|
gi|388476156|ref|YP_488340.1| gi|525827879|ref|YP_008250604.1|
gi|388476170|ref|YP_488354.1| gi|525827862|ref|YP_008250585.1|
gi|388476172|ref|YP_488356.1| gi|525827860|ref|YP_008250583.1|
gi|388476173|ref|YP_488357.1| gi|525827859|ref|YP_008250582.1|
gi|388476174|ref|YP_488358.1| gi|525827858|ref|YP_008250581.1|
gi|388476176|ref|YP_488360.1| gi|525827856|ref|YP_008250579.1|
gi|388476181|ref|YP_488365.1| gi|525827853|ref|YP_008250576.1|
gi|388476182|ref|YP_488366.1| gi|525827852|ref|YP_008250575.1|
gi|388476184|ref|YP_488368.1| gi|525827848|ref|YP_008250571.1|
gi|388476190|ref|YP_488374.1| gi|525827842|ref|YP_008250565.1|
gi|388476192|ref|YP_488376.1| gi|525829728|ref|YP_008252897.1|
gi|388476193|ref|YP_488377.1| gi|525827840|ref|YP_008250562.1|
gi|388476196|ref|YP_488380.1| gi|525827837|ref|YP_008250559.1|
gi|388476202|ref|YP_488386.1| gi|525827832|ref|YP_008250553.1|
gi|388476203|ref|YP_488387.1| gi|525827831|ref|YP_008250552.1|
gi|388476204|ref|YP_488388.1| gi|525830401|ref|YP_008250551.1|
gi|388476206|ref|YP_488390.1| gi|525827829|ref|YP_008250549.1|
gi|388476207|ref|YP_488391.1| gi|525827828|ref|YP_008250548.1|
gi|388476208|ref|YP_488392.1| gi|525827827|ref|YP_008250547.1|
gi|388476211|ref|YP_488395.1| gi|525827825|ref|YP_008250544.1|
gi|388476214|ref|YP_488398.1| gi|525827822|ref|YP_008250541.1|
gi|388476215|ref|YP_488399.1| gi|525827821|ref|YP_008250540.1|
gi|388476216|ref|YP_488400.1| gi|525827820|ref|YP_008250539.1|
gi|388476217|ref|YP_488401.1| gi|525827819|ref|YP_008250538.1|
gi|388476218|ref|YP_488402.1| gi|525827818|ref|YP_008250537.1|
gi|388476221|ref|YP_488405.1| gi|525827815|ref|YP_008250533.1|
gi|388476222|ref|YP_488406.1| gi|525827814|ref|YP_008250532.1|
gi|388476223|ref|YP_488407.1| gi|525827813|ref|YP_008250531.1|
gi|388476227|ref|YP_488411.1| gi|525827809|ref|YP_008250527.1|
gi|388476228|ref|YP_488412.1| gi|525827808|ref|YP_008250526.1|
gi|388476230|ref|YP_488414.1| gi|525827806|ref|YP_008250524.1|
gi|388476236|ref|YP_488420.1| gi|525830397|ref|YP_008250513.1|
gi|388476238|ref|YP_488422.1| gi|525827795|ref|YP_008250503.1|
gi|388476239|ref|YP_488423.1| gi|525827791|ref|YP_008250499.1|
gi|388476240|ref|YP_488424.1| gi|525827790|ref|YP_008250498.1|
gi|388476241|ref|YP_488425.1| gi|525827789|ref|YP_008250497.1|
gi|388476243|ref|YP_488427.1| gi|525827787|ref|YP_008250495.1|
gi|388476247|ref|YP_488431.1| gi|525827783|ref|YP_008250491.1|
gi|388476250|ref|YP_488434.1| gi|525827775|ref|YP_008250477.1|
gi|388476252|ref|YP_488436.1| gi|525827774|ref|YP_008250476.1|
gi|388476253|ref|YP_488437.1| gi|525827773|ref|YP_008250475.1|
